2026-02-07 15:27:56,678 [Worker-7: Importing Maven projects] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.capgemini:basicsofjdbc:0.0.1-SNAPSHOT @ /Users/palak/Documents/advance-java-lpu/basicsofjdbc/pom.xml.
2026-02-09 12:26:00,550 [Worker-42: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:26:00,551 [Worker-42: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:26:00,551 [Worker-42: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:34:14,001 [Worker-42: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:34:14,006 [Worker-42: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:34:14,007 [Worker-42: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:34:14,007 [Worker-42: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:34:23,253 [Worker-44: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:34:23,254 [Worker-44: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:34:23,255 [Worker-44: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:34:23,255 [Worker-44: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:34:30,828 [Worker-44: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:34:30,830 [Worker-44: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:34:30,833 [Worker-44: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:34:30,833 [Worker-44: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:41:07,630 [Worker-47: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:41:07,634 [Worker-47: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:41:07,636 [Worker-47: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:41:07,636 [Worker-47: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:41:40,772 [Worker-47: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:41:40,773 [Worker-47: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:41:40,781 [Worker-47: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:41:40,781 [Worker-47: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:41:54,253 [Worker-49: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:41:54,257 [Worker-49: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:41:54,258 [Worker-49: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:41:54,258 [Worker-49: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:42:00,578 [Worker-51: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:42:00,579 [Worker-51: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 12:42:00,579 [Worker-51: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 12:42:00,579 [Worker-51: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 15:32:54,316 [Worker-51: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 15:32:54,325 [Worker-51: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 15:32:54,326 [Worker-51: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-09 15:32:54,326 [Worker-51: Launching StepstoConnectDatabase] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-09 15:34:00,034 [Worker-63: Launching StepstoConnectDatabase] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
